destination,country,description,activities,best_season,budget_level,travel_style
Kathmandu,Nepal,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours,spring through fall,low,history; culture
Pokhara,Nepal,"A mountain destination with dramatic scenery, outdoor activities, and rewarding viewpoints.",hiking; viewpoints; nature photography,spring through fall,low,adventure; nature
Everest Region,Nepal,"A mountain destination with dramatic scenery, outdoor activities, and rewarding viewpoints.",hiking; viewpoints; nature photography,spring through fall,low,adventure; nature
Thimphu,Bhutan,"A varied travel destination in Bhutan offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; relaxation,spring through fall,medium,culture; sightseeing
Paro,Bhutan,"A varied travel destination in Bhutan offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,spring through fall,medium,culture; sightseeing
Colombo,Sri Lanka,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Sri Lanka.",walking tours; museums; local dining; food tasting,spring or summer,low,city; culture
Kandy,Sri Lanka,"A varied travel destination in Sri Lanka offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,spring or fall,low,culture; sightseeing
Ella,Sri Lanka,"A varied travel destination in Sri Lanka offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; scenic viewpoints,spring through fall,low,culture; sightseeing
Maldives,Maldives,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; diving,dry season or summer,high,relaxing; nature
Dubai,United Arab Emirates,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore United Arab Emirates.",walking tours; museums; local dining,spring or fall,high,city; culture
Muscat,Oman,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; cultural tours,spring or summer,medium,relaxing; culture
Vancouver,Canada,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Canada.",walking tours; museums; local dining; food tasting,spring through fall,high,city; culture
Toronto,Canada,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Canada.",walking tours; museums; local dining; food tasting,spring or fall,high,city; culture
Montreal,Canada,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants; cultural tours,year-round,high,food; culture
Quebec City,Canada,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or fall,high,history; culture
Jasper,Canada,"A mountain destination with dramatic scenery, outdoor activities, and rewarding viewpoints.",hiking; viewpoints; nature photography; wildlife viewing,dry season,high,adventure; nature
Niagara Falls,Canada,"A varied travel destination in Canada offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,year-round,high,culture; sightseeing
Calgary,Canada,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Canada.",walking tours; museums; local dining; cultural tours,spring through fall,high,city; culture
Halifax,Canada,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; food tasting,spring or summer,high,relaxing; culture
Los Angeles,United States,"A varied travel destination in United States offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,dry season or summer,high,culture; sightseeing
San Francisco,United States,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore United States.",walking tours; museums; local dining; food tasting,spring or fall,high,city; culture
Chicago,United States,"A varied travel destination in United States offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; food tasting,year-round,high,culture; sightseeing
Miami,United States,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; nightlife,dry season or summer,high,relaxing; nature
New Orleans,United States,"A varied travel destination in United States offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; food tasting,spring or fall,high,culture; sightseeing
Boston,United States,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; museum visits,spring or fall,high,history; culture
Washington DC,United States,"A varied travel destination in United States offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,spring or fall,high,culture; sightseeing
Seattle,United States,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants,spring or fall,high,food; culture
Las Vegas,United States,"A varied travel destination in United States offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; nightlife,spring or fall,high,culture; sightseeing
Yellowstone National Park,United States,A nature destination with strong wildlife-viewing opportunities and varied outdoor experiences.,wildlife viewing; guided walks; photography,dry season,high,nature; adventure
Grand Canyon,United States,"A varied travel destination in United States offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; scenic viewpoints,spring through fall,high,culture; sightseeing
Yosemite National Park,United States,"A varied travel destination in United States offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,spring through fall,high,culture; sightseeing
Honolulu,United States,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; cultural tours,dry season or summer,high,relaxing; nature
Mexico City,Mexico,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants; museum visits,spring or fall,medium,food; culture
Cancún,Mexico,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; nightlife,dry season or summer,medium,relaxing; nature
Oaxaca,Mexico,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants; cultural tours,spring or fall,medium,food; culture
Tulum,Mexico,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities,dry season or summer,medium,relaxing; nature
Guanajuato,Mexico,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; cultural tours,spring or fall,medium,history; culture
Havana,Cuba,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; live music,spring or fall,medium,history; culture
Varadero,Cuba,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; relaxation,dry season or summer,medium,relaxing; nature
San Juan,Puerto Rico,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,dry season or summer,medium,history; culture
Nassau,Bahamas,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; diving,dry season or summer,medium,relaxing; nature
Montego Bay,Jamaica,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; live music,dry season or summer,medium,relaxing; nature
Kingston,Jamaica,"A varied travel destination in Jamaica offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; food tasting,year-round,medium,culture; sightseeing
Punta Cana,Dominican Republic,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; relaxation,dry season or summer,medium,relaxing; nature
Aruba,Aruba,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; diving,dry season or summer,medium,relaxing; nature
Barbados,Barbados,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; food tasting,dry season or summer,medium,relaxing; nature
Buenos Aires,Argentina,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants; cultural tours,year-round,medium,food; culture
Patagonia,Argentina,"A mountain destination with dramatic scenery, outdoor activities, and rewarding viewpoints.",hiking; viewpoints; nature photography,spring through fall,medium,adventure; nature
Mendoza,Argentina,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants,spring through fall,medium,food; culture
Rio de Janeiro,Brazil,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; cultural tours,dry season or summer,medium,relaxing; nature
São Paulo,Brazil,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants; nightlife,spring or fall,medium,food; culture
Salvador,Brazil,"A varied travel destination in Brazil offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; live music,spring or fall,medium,culture; sightseeing
Amazon Rainforest,Brazil,A nature destination with strong wildlife-viewing opportunities and varied outdoor experiences.,wildlife viewing; guided walks; photography,dry season,medium,nature; adventure
Lima,Peru,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants,spring or fall,medium,food; culture
Cusco,Peru,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; cultural tours,spring through fall,medium,history; culture
Machu Picchu,Peru,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; hiking,spring through fall,medium,history; culture
Arequipa,Peru,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring through fall,medium,history; culture
Santiago,Chile,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Chile.",walking tours; museums; local dining; food tasting,spring through fall,medium,city; culture
Atacama Desert,Chile,"A striking desert destination with wide-open landscapes, cultural experiences, and memorable sunsets.",desert tours; stargazing; photography,fall or winter,medium,adventure; culture
Torres del Paine,Chile,"A varied travel destination in Chile offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,spring through fall,medium,culture; sightseeing
Cartagena,Colombia,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or summer,medium,history; culture
Medellín,Colombia,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Colombia.",walking tours; museums; local dining; cultural tours,spring or fall,medium,city; culture
Bogotá,Colombia,"A varied travel destination in Colombia offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; food tasting,spring or fall,medium,culture; sightseeing
Quito,Ecuador,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; cultural tours,spring through fall,medium,history; culture
Galápagos Islands,Ecuador,A nature destination with strong wildlife-viewing opportunities and varied outdoor experiences.,wildlife viewing; guided walks; photography; diving,dry season,medium,nature; adventure
Uyuni Salt Flats,Bolivia,"A varied travel destination in Bolivia offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,year-round,low,culture; sightseeing
Sydney,Australia,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Australia.",walking tours; museums; local dining; food tasting,dry season or summer,high,city; culture
Melbourne,Australia,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants,spring or fall,high,food; culture
Great Barrier Reef,Australia,"A varied travel destination in Australia offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; wildlife viewing,dry season,high,culture; sightseeing
Uluru,Australia,"A varied travel destination in Australia offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,fall or winter,high,culture; sightseeing
Tasmania,Australia,"A varied travel destination in Australia offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; wildlife viewing,dry season,high,culture; sightseeing
Auckland,New Zealand,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore New Zealand.",walking tours; museums; local dining; food tasting,spring or fall,high,city; culture
Rotorua,New Zealand,"A distinctive nature destination featuring geothermal landscapes, outdoor activities, and cultural experiences.",hot springs; nature walks; cultural tours,year-round,high,nature; culture
Milford Sound,New Zealand,"A varied travel destination in New Zealand offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,year-round,high,culture; sightseeing
Fiji,Fiji,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; diving,dry season or summer,medium,relaxing; nature
Bora Bora,French Polynesia,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; relaxation,dry season or summer,high,relaxing; nature
